,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
742,Wolves,0.7240000000000000,0.804,11.0,-4.614,0.0,0.0448,0.124,0.0,0.204,0.306,124.98700000000000,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993.0,4.0
743,715 - CR∑∑KS,0.461,0.161,8.0,-11.145,1.0,0.405,0.878,0.0,0.17,0.353,88.781,audio_features,0H2MmFtJgoeywCIbAN3sid,spotify:track:0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/tracks/0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/audio-analysis/0H2MmFtJgoeywCIbAN3sid,132000.0,3.0
744,"i hate u, i love u (feat. olivia o'brien)",0.4920000000000000,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.10100000000000000,0.18,92.6,audio_features,7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,251034.0,4.0
745,Almost (Sweet Music),0.523,0.687,7.0,-5.601,1.0,0.105,0.0215,2.86E-06,0.203,0.711,90.036,audio_features,5Apvsk0suoivI1H8CmBglv,spotify:track:5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/tracks/5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/audio-analysis/5Apvsk0suoivI1H8CmBglv,217480.0,4.0
746,YuNg BrAtZ,0.755,0.695,9.0,-5.963000000000000,1.0,0.26,0.0179,0.0,0.107,0.493,128.063,audio_features,2ooF4088y5L72c4YTEJQoB,spotify:track:2ooF4088y5L72c4YTEJQoB,https://api.spotify.com/v1/tracks/2ooF4088y5L72c4YTEJQoB,https://api.spotify.com/v1/audio-analysis/2ooF4088y5L72c4YTEJQoB,101851.0,4.0
747,"Wishing You Were Somehow Here Again (From ""Phantom of the Opera"") / I Dreamed a Dream [From ""Les Miserábles""]",0.23800000000000000,0.478,10.0,-11.011,1.0,0.0574,0.899,0.9540000000000000,0.0705,0.462,146.285,audio_features,7u5TwR3dZbFvXpnJOIrJOT,spotify:track:7u5TwR3dZbFvXpnJOIrJOT,https://api.spotify.com/v1/tracks/7u5TwR3dZbFvXpnJOIrJOT,https://api.spotify.com/v1/audio-analysis/7u5TwR3dZbFvXpnJOIrJOT,124667.0,4.0
748,feel,0.7120000000000000,0.515,10.0,-6.004,0.0,0.0857,0.23400000000000000,0.0,0.205,0.563,160.0,audio_features,2Jh3UqxnHJMyzMzku4uOtE,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/tracks/2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/audio-analysis/2Jh3UqxnHJMyzMzku4uOtE,201920.0,4.0
749,Allergic,0.665,0.741,0.0,-3.694,1.0,0.0787,0.154,3.02E-05,0.345,0.57,144.968,audio_features,1YscJ7yVTlFxW3eF6pv5ba,spotify:track:1YscJ7yVTlFxW3eF6pv5ba,https://api.spotify.com/v1/tracks/1YscJ7yVTlFxW3eF6pv5ba,https://api.spotify.com/v1/audio-analysis/1YscJ7yVTlFxW3eF6pv5ba,156893.0,4.0
750,The Buzz (feat. Mataya & Young Tapz),0.726,0.583,0.0,-6.434,0.0,0.23,0.334,0.00135,0.122,0.491,140.94300000000000,audio_features,1E0EOstQRm7YMhFpmDJzaB,spotify:track:1E0EOstQRm7YMhFpmDJzaB,https://api.spotify.com/v1/tracks/1E0EOstQRm7YMhFpmDJzaB,https://api.spotify.com/v1/audio-analysis/1E0EOstQRm7YMhFpmDJzaB,221787.0,4.0
751,Sunflower Seeds,0.723,0.593,10.0,-5.816,1.0,0.0308,0.194,5.35E-05,0.217,0.273,92.985,audio_features,4MJfCOcc2PpWOrUqOpvy1S,spotify:track:4MJfCOcc2PpWOrUqOpvy1S,https://api.spotify.com/v1/tracks/4MJfCOcc2PpWOrUqOpvy1S,https://api.spotify.com/v1/audio-analysis/4MJfCOcc2PpWOrUqOpvy1S,228610.0,4.0
